filter,variant,k6.1,k6.6,k6.12,k6.15,k6.18,k7.0
F1,kunai,635,1034,7363,8137,7803,5716
F1,cbpfc,235,230,230,229,229,229
F2,kunai,657,1056,7385,8159,7825,5738
F2,cbpfc,210,205,205,204,204,204
F3,kunai,1586,3451,17522,18595,18179,14293
F3,cbpfc,194,189,189,188,188,188
F4,kunai,675,1074,7403,8177,7843,5756
F4,cbpfc,292,287,287,286,286,286
F5,kunai,315,312,312,311,311,311
F5,cbpfc,197,196,196,195,195,195
F6,kunai,679,1078,7407,8181,7847,5760
F7,kunai,2643,11070,80859,89173,85499,62612
F8,kunai,1508,2513,3968,3967,3967,3987
F9,kunai,973,1376,6822,7706,7297,4767
F10,kunai,948,4725,135071,178146,206733,104304
